Service_code,Customer_code,Relevance,Date,Snapshot_Date
BNN,CHH,2,2021-12-15,2022-01-13
BNN,CHH,2,2021-12-16,2022-01-13
BNN,TNN,1,2021-12-17,2022-01-13
BNN,TNN,1,2022-01-01,2022-01-13
BNN,TNN,3,2022-01-02,2022-01-13
BNN,CHH,2,2022-01-03,2022-01-13
BNN,CHH,2,2022-01-04,2022-01-13
BNN,TNN,1,2022-01-05,2022-01-13
BNN,CHH,1,2022-01-06,2022-01-14
BNN,CHH,3,2022-01-07,2022-01-14
ENN,TNN,2,2021-11-04,2022-01-14
ENN,TNN,2,2021-11-05,2022-01-14
ENN,TNN,1,2021-11-06,2022-01-14
ENN,TNN,1,2021-11-07,2022-01-14
ENN,TNN,3,2021-11-08,2022-01-14
ENN,TNN,2,2021-11-09,2022-01-14
ENN,CHH,2,2021-11-10,2022-01-14
ENN,CHH,1,2022-01-08,2022-01-14
ENN,CHH,1,2022-01-09,2022-01-14
ENN,CHH,3,2022-01-10,2022-01-14
BNN,CHH,2,2021-12-15,2022-01-14
BNN,CHH,2,2021-12-16,2022-01-14
BNN,TNN,1,2021-12-17,2022-01-14
BNN,TNN,1,2022-01-01,2022-01-14
BNN,TNN,3,2022-01-02,2022-01-14
BNN,CHH,2,2022-01-03,2022-01-14
BNN,CHH,2,2022-01-04,2022-01-14
BNN,TNN,1,2022-01-05,2022-01-13
BNN,CHH,1,2022-01-06,2022-01-13
BNN,CHH,3,2022-01-07,2022-01-13
ENN,TNN,2,2021-11-04,2022-01-13
ENN,TNN,2,2021-11-05,2022-01-13
ENN,TNN,1,2021-11-06,2022-01-13
ENN,TNN,1,2021-11-07,2022-01-13
ENN,TNN,3,2021-11-08,2022-01-13
ENN,TNN,2,2021-11-09,2022-01-13
ENN,CHH,2,2021-11-10,2022-01-13
ENN,CHH,1,2022-01-08,2022-01-13
ENN,CHH,1,2022-01-09,2022-01-13
ENN,CHH,3,2022-01-10,2022-01-13
